;Sample 1;Sample 2;Sample 3;Sample 4;Sample 5;Sample 6
350;2,172;2,143;2,088;2,157;2,147;2,092
351;2,152;2,127;2,066;2,126;2,134;2,079
352;2,151;2,118;2,059;2,116;2,133;2,062
353;2,14;2,111;2,047;2,122;2,126;2,067
354;2,154;2,113;2,053;2,115;2,115;2,063
355;2,152;2,125;2,061;2,136;2,131;2,074
356;2,159;2,136;2,08;2,142;2,151;2,098
357;2,192;2,168;2,092;2,166;2,162;2,1
358;2,233;2,188;2,109;2,184;2,197;2,134
359;2,25;2,204;2,153;2,213;2,223;2,169
360;2,273;2,234;2,184;2,257;2,259;2,184
361;2,316;2,264;2,219;2,276;2,292;2,208
362;2,342;2,293;2,229;2,325;2,318;2,259
363;2,373;2,342;2,281;2,343;2,353;2,282
364;2,401;2,392;2,318;2,383;2,412;2,329
365;2,44;2,406;2,366;2,449;2,423;2,349
366;2,48;2,439;2,391;2,495;2,475;2,397
367;2,543;2,524;2,438;2,509;2,515;2,431
368;2,583;2,538;2,49;2,619;2,566;2,491
369;2,641;2,57;2,551;2,582;2,594;2,559
370;2,655;2,631;2,568;2,686;2,608;2,596
371;2,671;2,735;2,667;2,727;2,71;2,62
372;2,752;2,726;2,737;2,767;2,738;2,692
373;2,824;2,761;2,794;2,783;2,858;2,751
374;2,839;2,942;2,807;2,929;2,908;2,81
375;2,913;2,866;2,861;3,01;2,908;2,949
376;3,022;2,917;2,994;3,022;2,982;2,949
377;3,142;3,034;3,026;3,071;3,057;2,982
378;3,101;3,181;3,091;3,141;3,072;3,042
379;3,199;3,282;3,126;3,2;3,149;3,044
380;3,141;3,076;3,169;3,255;3,147;3,132
381;3,193;3,18;3,121;3,263;3,247;3,218
382;3,376;3,17;3,217;3,423;3,296;3,214
383;3,342;3,203;3,224;3,501;3,342;3,268
384;3,53;3,13;3,38;3,495;3,322;3,263
385;3,317;3,101;3,275;3,487;3,387;3,427
386;3,582;3,369;3,24;3,394;3,533;3,338
387;3,459;3,368;3,306;3,399;3,357;3,362
388;3,312;3,837;3,341;3,553;3,475;3,493
389;3,423;3,524;3,375;3,524;3,566;3,469
390;3,562;3,484;3,557;3,744;3,537;3,387
391;3,429;3,572;3,385;3,735;3,626;3,371
392;3,373;3,517;3,403;3,863;3,357;3,4
393;3,386;3,565;3,408;3,678;3,465;3,502
394;3,523;3,672;3,465;3,54;3,547;3,432
395;3,526;3,706;3,464;3,553;3,483;3,574
396;3,543;3,587;3,418;3,677;3,554;3,539
397;3,638;3,635;3,517;3,617;3,561;3,768
398;3,53;3,668;3,563;3,798;3,566;3,587
399;3,772;3,535;3,576;3,927;3,609;3,676
400;3,507;3,701;3,518;3,559;3,622;3,495
401;3,633;3,638;3,522;3,728;3,725;3,693
402;3,828;3,823;3,666;3,671;3,724;3,606
403;3,665;3,783;3,934;3,922;3,829;3,825
404;3,76;4,007;3,707;3,701;3,775;3,894
405;3,799;3,685;3,594;3,698;3,792;3,721
406;3,61;4,009;3,834;4,158;3,762;3,835
