time;0 M KCl;0.1 M KCl;0.2 M KCl;0.3 M KCl;0.4 M KCl;0.5 M KCl;0.75 M KCl;1 M KCl
-8000,39;0,011702484;0,011125042;0,01098162;0,014038322;0,011654117;0,019954219;0,016911043;0,020683001
-7950,39;0,012013594;0,00816253;0,004758181;0,01284839;0,014349403;0,015612683;0,014403076;0,016379782
-7900,39;0,007656086;0,008114301;0,005302357;0,009920378;0,010803585;0,013180987;0,008609397;0,015768251
-7850,39;0,00962849;0,006807651;0,006837011;0,009288269;0,007591047;0,014406361;0,013146105;0,007868491
-7800,39;0,013720102;0,005474303;0,004742253;0,00564198;0,009527977;0,012640472;0,006172761;0,00954761
-7750,39;0,004774921;0,003874148;0,005471169;0,008856138;0,00863198;0,006709577;0,006590555;0,01731114
-7700,39;0,006860358;0,005550992;0,004368326;0,007063071;0,006364365;0,00888275;0,005132979;0,011302795
-7650,39;0,008499719;0,008834783;0,006261997;0,005042957;0,001544666;0,004890688;0,007604806;0,007836342
-7600,39;0,006365758;0,00284139;0,004928023;0,005342702;0,006654399;0,004013705;0,006159577;0,006910185
-7550,39;0,006864174;0,005957592;0,002685847;0,002346315;0,005057131;0,001177281;0,006789396;0,007855
-7500,39;0,008040571;0,000911774;-0,001002179;0,002194886;0,004380457;0,00733442;0,003686225;0,006288154
-7450,39;0,008049994;0,002947733;0,003426518;0,00479244;0,003226593;0,006095372;0,006161136;-0,001303939
-7400,39;0,001688781;0,00108772;0,005330422;0,003049871;0,003880453;0,008001036;0,003466512;0,003248079
-7350,39;0,004438231;0,001768272;0,005148496;0,003922351;0,008002664;0,004215481;0,005337461;-0,000220909
-7300,39;0,000465936;0,003467763;0,000195827;0,002902488;0,00315653;0,011550567;0,001612843;0,003523371
-7250,39;-0,001344797;0,005375731;-0,001319764;0,002060254;-0,000750682;0,010765913;0,004339208;-0,001723979
-7200,39;0,002386563;0,003516011;0,002656576;0,001586988;0,000598611;0,001180822;0,003260974;0,004243408
-7150,39;0,003136403;0,002785078;0,002657912;0,002359766;0,004875055;0,002989994;-0,00062981;0,005196674
-7100,39;-0,00140482;-0,002632051;0,002508983;0,000377312;-0,001881949;-0,001843501;0,003090966;-0,00076938
-7050,39;0,001332905;0,002729136;0,001709233;0,002525789;-5,56815E-05;-0,003001141;0,001218131;0,00660229
-7000,39;0,001234849;0,000735475;-0,000955888;0,000904;0,004406244;0,004357;0,002243763;-0,005908519
-6950,39;0,000518442;0,004238685;0,002293128;-0,000214297;0,000960652;-0,002757908;0,002041092;0,007395857
-6900,39;0,002981128;0,003368309;0,001120103;-0,002643221;0,004386782;-0,006187465;-0,004582789;-0,000580814
-6850,39;-0,001142739;0,00054708;0,002854769;-0,001519439;-0,001742203;-0,002811575;-0,001875008;0,005458182
-6800,39;-0,002167675;0,002581316;-0,000233061;0,000184727;-0,000343013;-0,003112444;-0,004966821;0,003525906
-6750,39;-0,003589213;-0,001369736;-0,004561466;-0,00216269;-0,002320271;-0,002460848;-3,90543E-05;0,001671612
-6700,39;-0,003532107;-0,000905804;0,000554845;3,29169E-05;0,001437519;-0,001845787;0,001019309;0,003821124
-6650,39;-0,003590279;0,002404627;0,002255367;0,000936831;-0,003480838;0,002477886;-0,007859724;-0,010521682
-6600,39;-0,001889494;-0,000661859;0,001174838;0,002257987;-0,002709452;0,005846471;0,002474131;0,000343945
-6550,39;0,000198468;-0,002779949;-0,000598669;-0,001232064;0,001489904;0,002407039;-0,001480376;0,000973907
-6500,39;0,002363732;-0,002077084;-0,002463884;-0,001944834;-0,004563074;-0,000969932;-0,001882394;0,000390655
-6450,39;0,00335804;-0,002281959;0,000951749;-0,00135064;-0,006354038;-0,003127338;-0,005999882;-0,008847239
-6400,39;-0,006723147;-0,000379335;-0,001514862;-0,002049557;-0,001592834;-0,002126143;0,003726272;-0,005544745
-6350,39;-0,003695852;-0,002563309;-0,00344192;-0,007264002;-0,000148126;-0,002838679;-0,004539919;-0,007390719
-6300,39;-0,000610665;0,000434649;-0,001888834;-0,004787949;-0,003407371;-0,006100629;-3,39649E-05;-0,000293332
-6250,39;-0,003275298;-0,003728521;-0,00397552;-0,003069485;-0,005772512;-0,008609857;-0,001685166;-0,004571294
-6200,39;0,001127312;-0,005550444;0,000415938;5,28913E-05;-0,001330425;-0,001875098;-0,005378175;-0,008165429
-6150,39;-0,006526641;-0,00348716;-0,007556534;-0,001885991;-0,005335759;-0,005818829;-0,00063797;-0,010035782
-6100,39;-0,003124287;-0,005347212;-0,001858503;-0,005707898;9,26589E-05;-0,005182284;-0,00497826;-0,007621933
-6050,39;-0,007805526;-0,004905732;-0,002640723;-0,004153553;-0,007145645;-0,003186737;-0,003546641;0,002162288
-6000,39;-0,005036443;-0,004883946;-0,00508831;-0,004404896;-0,003787037;-0,007677413;-0,004967759;-0,008353184
-5950,39;-0,005115426;-0,00599582;-0,001669694;-0,005596122;-0,00294802;-0,007109921;-0,010322606;-0,005737863
-5900,39;-0,004397224;-0,00574109;-0,003383186;-0,005308515;-0,010254332;-0,007752738;-0,003515274;-0,00724324
-5850,39;-0,006508691;-0,002441875;-0,003749673;-0,006264028;-0,00258614;-0,006172811;-0,009695977;-0,00034505
-5800,39;-0,004473291;-0,004952708;-0,00791207;-0,006019525;-0,002083541;-0,013231939;-0,004969495;-0,010488394
-5750,39;-0,008184345;-0,00259124;-0,002447994;-0,002718459;-0,008883523;-0,009749014;-0,007238992;-0,010887144
-5700,39;-0,011108817;-0,005402018;-0,003805112;-0,006682243;-0,00480894;-0,00796693;-0,005966843;-0,012264058
-5650,39;-0,006892838;-0,00936225;-0,007613217;-0,004873248;-0,011150166;-0,007700103;-0,006424552;-0,008190265
-5600,39;-0,009092602;-0,00666087;-0,00756555;-0,007409565;-0,009191991;-0,009172649;-0,008464919;-0,00684628
-5550,39;-0,006479521;-0,007813338;-0,003364414;-0,007229603;-0,006784466;-0,00834873;-0,006603841;-0,011770229
-5500,39;-0,010004167;-0,006322795;-0,00719518;-0,010371382;-0,011363488;-0,009887502;-0,005796669;-0,008323668
-5450,39;-0,014196584;-0,006389052;-0,008122008;-0,008689436;-0,008258208;-0,017739032;-0,007039683;-0,015284727
-5400,39;-0,007445277;-0,008344877;-0,004368697;-0,003922415;-0,008589976;-0,010415806;-0,012194411;-0,007673878
-5350,39;-0,010645909;-0,008126887;-0,007942301;-0,006879849;-0,009128632;-0,00892481;-0,012629472;-0,013872056
-5300,39;-0,007781461;-0,010175922;-0,007360129;-0,008339957;-0,009702538;-0,009521135;-0,008285553;-0,007003608
-5250,39;-0,011136921;-0,00637672;-0,007222337;-0,008541883;-0,013367019;-0,014334465;-0,013840646;-0,013471975
-5200,39;-0,011278004;-0,003881762;-0,006840874;-0,007992257;-0,009002564;-0,015882559;-0,010542013;-0,007025712
-5150,39;-0,010708289;-0,008806381;-0,006630198;-0,008896849;-0,016959223;-0,017212967;-0,008492119;-0,014759141
-5100,39;-0,008574945;-0,0073415;-0,00736065;-0,006190273;-0,00912155;-0,010117461;-0,013438281;-0,007097224
-5050,39;-0,012070139;-0,005346409;-0,006068556;-0,007318525;-0,009513975;-0,014133166;-0,014061453;-0,013511925
-4950,39;-0,953669621;-0,963754284;-0,970543605;-0,964670607;-0,973849856;-0,969846292;-0,976942011;-0,978727472
-4900,39;-0,960443375;-0,968845118;-0,980814661;-0,975392174;-0,979552153;-0,974450175;-0,981436343;-0,986125078
-4850,39;-0,969632018;-0,968452751;-0,977985398;-0,973001217;-0,976734441;-0,98084098;-0,982499141;-0,991430062
-4800,39;-0,970322249;-0,971935151;-0,982259909;-0,977376223;-0,97724185;-0,976694819;-0,986470079;-0,991121967
-4750,39;-0,972326079;-0,975780496;-0,979450564;-0,976981721;-0,98291359;-0,974777174;-0,987418018;-0,989658317
-4700,39;-0,975764022;-0,975167492;-0,98346014;-0,97856398;-0,986628764;-0,980311199;-0,986364938;-0,992616374
-4650,39;-0,976343963;-0,977000089;-0,986534584;-0,981728411;-0,985845118;-0,979599447;-0,992810217;-0,990266518
-4600,39;-0,973061689;-0,979659753;-0,983797748;-0,982139831;-0,982909715;-0,986701874;-0,986672218;-0,991431793
-4550,39;-0,97591567;-0,977624478;-0,98718116;-0,981737521;-0,983491858;-0,982720124;-0,988144105;-0,999725058
-4500,39;-0,980602647;-0,981905724;-0,987749794;-0,984326553;-0,98591498;-0,9814942;-0,988353277;-0,991446705
-4450,39;-0,98175644;-0,979435509;-0,985510071;-0,98571334;-0,982348276;-0,988522876;-0,986935534;-0,995567508
-4400,39;-0,987426491;-0,980471987;-0,988832578;-0,988109676;-0,986581931;-0,98916608;-0,988972093;-0,994979677
