File............:   - JUL,18.2025

System..........:  
Temperature.....:  0.1 +-0.0 C
Time............:  13:13:45-13:14:02
Slewrate........:  500mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Cyclic voltammogram

Lines:   5250
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.000     -2.479e-05
2             0.0       0.000     -2.452e-05
3             0.0       0.000     -2.497e-05
4             0.0       0.000     -2.449e-05
5             0.0       0.000     -2.486e-05
6             0.0       0.000     -2.465e-05
7             0.0       0.000     -2.482e-05
8             0.0       0.000     -2.469e-05
9             0.0       0.000     -2.465e-05
10            0.0       0.000     -2.486e-05
11            0.0       0.000     -2.471e-05
12            0.0       0.000     -2.478e-05
13            0.0       0.000     -2.467e-05
14            0.0       0.000     -2.485e-05
15            0.0       0.000     -2.469e-05
16            0.0       0.000     -2.457e-05
17            0.1       0.000     -2.494e-05
18            0.1       0.000     -2.455e-05
19            0.1       0.000     -2.456e-05
20            0.1       0.000     -2.491e-05
21            0.1       0.000     -2.447e-05
22            0.1       0.000     -2.414e-05
23            0.1       0.000     -2.470e-05
24            0.1       0.000     -2.464e-05
25            0.1       0.000     -2.456e-05
26            0.1       0.000     -2.444e-05
27            0.1       0.000     -2.436e-05
28            0.1       0.000     -2.452e-05
29            0.1       0.000     -2.433e-05
30            0.1       0.000     -2.459e-05
31            0.1       0.000     -2.447e-05
32            0.1       0.000     -2.417e-05
33            0.1       0.000     -2.426e-05
34            0.1       0.000     -2.415e-05
35            0.1       0.000     -2.438e-05
36            0.1       0.000     -2.479e-05
37            0.1       0.000     -2.448e-05
38            0.1       0.000     -2.458e-05
39            0.1       0.000     -2.440e-05
40            0.1       0.000     -2.408e-05
41            0.1       0.000     -2.431e-05
42            0.1       0.000     -2.439e-05
43            0.1       0.000     -2.421e-05
44            0.1       0.000     -2.447e-05
45            0.1       0.000     -2.438e-05
46            0.1       0.000     -2.410e-05
47            0.1       0.000     -2.407e-05
48            0.1       0.000     -2.443e-05
49            0.2       0.000     -2.414e-05
50            0.2       0.000     -2.398e-05
51            0.2       0.000     -2.460e-05
52            0.2       0.000     -2.407e-05
53            0.2       0.000     -2.411e-05
54            0.2       0.000     -2.441e-05
55            0.2       0.000     -2.413e-05
56            0.2       0.000     -2.417e-05
57            0.2       0.000     -2.433e-05
58            0.2       0.000     -2.423e-05
59            0.2       0.000     -2.431e-05
60            0.2       0.000     -2.420e-05
61            0.2       0.000     -2.422e-05
62            0.2       0.000     -2.412e-05
63            0.2       0.000     -2.404e-05
64            0.2       0.000     -2.385e-05
65            0.2       0.000     -2.412e-05
66            0.2       0.000     -2.433e-05
67            0.2       0.000     -2.396e-05
68            0.2       0.000     -2.359e-05
69            0.2       0.000     -2.430e-05
70            0.2       0.000     -2.416e-05
71            0.2       0.000     -2.372e-05
72            0.2       0.000     -2.425e-05
73            0.2       0.000     -2.380e-05
74            0.2       0.000     -2.387e-05
75            0.2       0.000     -2.423e-05
76            0.2       0.000     -2.375e-05
77            0.2       0.000     -2.390e-05
78            0.2       0.000     -2.392e-05
79            0.2       0.000     -2.417e-05
80            0.3       0.000     -2.387e-05
81            0.3       0.000     -2.419e-05
82            0.3       0.000     -2.382e-05
83            0.3       0.000     -2.357e-05
84            0.3       0.000     -2.398e-05
85            0.3       0.000     -2.348e-05
86            0.3       0.000     -2.362e-05
87            0.3       0.000     -2.358e-05
88            0.3       0.000     -2.377e-05
89            0.3       0.000     -2.360e-05
90            0.3       0.000     -2.364e-05
91            0.3       0.000     -2.407e-05
92            0.3       0.000     -2.373e-05
93            0.3       0.000     -2.379e-05
94            0.3       0.000     -2.396e-05
95            0.3       0.000     -2.379e-05
96            0.3       0.000     -2.363e-05
97            0.3       0.000     -2.406e-05
98            0.3       0.000     -2.345e-05
99            0.3       0.000     -2.334e-05
100           0.3       0.000     -2.367e-05
101           0.3       0.000     -2.356e-05
102           0.3       0.000     -2.363e-05
103           0.3       0.000     -2.395e-05
104           0.3       0.000     -2.348e-05
105           0.3       0.000     -2.377e-05
106           0.3       0.000     -2.384e-05
