Date: 15-08-25
Time: 13:44:21 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00100
Scan rate (V/s) = .09996
Equilibration time (s) = 
Number of Data Points =  1601 

 Potential	  Scan 1   
 0.000623	-1.209717E-05
 0.002130	-1.044312E-05
 0.003125	-9.463501E-06
 0.004123	-8.544922E-06
 0.005121	-7.675171E-06
 0.006134	-6.823730E-06
 0.007129	-6.024170E-06
 0.008121	-5.261230E-06
 0.009097	-4.538269E-06
 0.010098	-3.807678E-06
 0.011090	-3.093872E-06
 0.012088	-2.399292E-06
 0.013080	-1.716003E-06
 0.014078	-1.046753E-06
 0.015073	-3.292847E-07
 0.016071	3.171997E-07
 0.017065	9.701538E-07
 0.018060	1.606445E-06
 0.019055	2.240601E-06
 0.020053	2.864685E-06
 0.021045	3.490295E-06
 0.022046	4.109802E-06
 0.023038	4.722900E-06
 0.024030	5.328369E-06
 0.025027	5.941772E-06
 0.026022	6.542969E-06
 0.027020	7.147217E-06
 0.028015	7.748413E-06
 0.029007	8.352661E-06
 0.030002	8.947754E-06
 0.030997	9.552002E-06
 0.031995	1.015015E-05
 0.032990	1.074829E-05
 0.033984	1.134644E-05
 0.034979	1.194458E-05
 0.035974	1.253967E-05
 0.036966	1.313477E-05
 0.037967	1.373291E-05
 0.038962	1.433105E-05
 0.039957	1.493225E-05
 0.040952	1.553040E-05
 0.041946	1.612549E-05
 0.042941	1.672974E-05
 0.043939	1.732483E-05
 0.044931	1.792908E-05
 0.045929	1.853333E-05
 0.046921	1.913757E-05
 0.047919	1.973877E-05
 0.048911	2.034607E-05
 0.049896	2.094727E-05
 0.050934	2.155762E-05
 0.051910	2.216492E-05
 0.052917	2.277222E-05
 0.053925	2.337952E-05
 0.054901	2.399597E-05
 0.055908	2.460938E-05
 0.056885	2.521667E-05
 0.057892	2.583313E-05
 0.058899	2.644958E-05
 0.059875	2.706909E-05
 0.060883	2.768250E-05
 0.061859	2.830200E-05
 0.062866	2.892151E-05
 0.063873	2.954102E-05
 0.064850	3.016357E-05
 0.065857	3.070374E-05
 0.066864	3.132324E-05
 0.067841	3.194885E-05
 0.068848	3.257141E-05
 0.069855	3.319702E-05
 0.070831	3.382263E-05
 0.071838	3.445435E-05
 0.072815	3.507996E-05
 0.073822	3.571167E-05
 0.074829	3.634338E-05
 0.075836	3.697510E-05
 0.076813	3.760376E-05
 0.077820	3.823547E-05
 0.078796	3.887329E-05
 0.079803	3.950195E-05
 0.080780	4.013672E-05
 0.081787	4.077148E-05
 0.082794	4.140320E-05
 0.083771	4.204407E-05
 0.084778	4.268188E-05
 0.085754	4.331970E-05
 0.086761	4.395447E-05
 0.087738	4.459229E-05
 0.088745	4.523315E-05
 0.089752	4.587402E-05
 0.090729	4.651184E-05
 0.091736	4.715271E-05
 0.092743	4.779053E-05
 0.093719	4.843140E-05
 0.094727	4.907227E-05
 0.095703	4.971313E-05
 0.096710	5.032349E-05
 0.097687	5.096436E-05
