Date: 15-08-25
Time: 14:41:30 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .02000
Scan rate (V/s) = 1.49880
Equilibration time (s) = 
Number of Data Points =  80 

 Potential	  Scan 1   
 0.007846	1.097107E-05
 0.038120	6.491089E-05
 0.058167	8.190918E-05
 0.078186	1.100159E-04
 0.098175	1.539917E-04
 0.118195	2.154846E-04
 0.138184	2.926636E-04
 0.158203	3.811035E-04
 0.178192	4.750366E-04
 0.198181	5.673218E-04
 0.218201	6.497192E-04
 0.238190	7.110596E-04
 0.258209	7.376099E-04
 0.278198	7.174683E-04
 0.298218	6.576538E-04
 0.318237	5.880737E-04
 0.338226	5.300903E-04
 0.358215	4.857788E-04
 0.378235	4.514771E-04
 0.398224	4.241943E-04
 0.418213	4.019165E-04
 0.438232	3.830566E-04
 0.458221	3.661194E-04
 0.478210	3.500366E-04
 0.498352	3.341064E-04
 0.488525	2.604370E-04
 0.468475	2.199402E-04
 0.448456	1.953430E-04
 0.428436	1.758728E-04
 0.408386	1.586914E-04
 0.388367	1.423950E-04
 0.368347	1.263123E-04
 0.348328	1.099548E-04
 0.328308	9.289551E-05
 0.308258	7.461548E-05
 0.288239	5.441284E-05
 0.268250	3.121338E-05
 0.248230	2.987671E-06
 0.228180	-3.262024E-05
 0.208160	-7.821655E-05
 0.188141	-1.358032E-04
 0.168121	-2.055359E-04
 0.148102	-2.853394E-04
 0.128082	-3.706360E-04
 0.108063	-4.550171E-04
 0.088043	-5.297852E-04
 0.068054	-5.819702E-04
 0.048004	-5.957031E-04
 0.027991	-5.569458E-04
 0.007962	-4.815979E-04
 -0.012073	-4.112244E-04
 -0.032089	-3.594055E-04
 -0.052094	-3.222046E-04
 -0.072113	-2.950439E-04
 -0.092163	-2.747803E-04
 -0.112152	-2.593994E-04
 -0.132172	-2.475586E-04
 -0.152191	-2.381897E-04
 -0.172211	-2.307129E-04
 -0.192230	-2.246704E-04
 -0.212250	-2.197876E-04
 -0.232269	-2.158508E-04
 -0.252289	-2.127686E-04
 -0.272308	-2.103577E-04
 -0.292328	-2.086182E-04
 -0.285797	-8.078003E-05
 -0.265778	-1.363831E-05
 -0.245789	-4.122925E-06
 -0.225769	-7.751465E-07
 -0.205750	1.071167E-06
 -0.185730	2.304077E-06
 -0.165741	3.060913E-06
 -0.145721	3.276367E-06
 -0.125732	3.815308E-06
 -0.105713	4.065857E-06
 -0.085724	4.336548E-06
 -0.065735	4.785156E-06
 -0.045813	5.706787E-06
 -0.025812	7.409668E-06
 -0.005792	1.065674E-05

 Potential	  Scan 2   
 0.014218	1.618652E-05
 0.034225	2.562561E-05
 0.054291	4.208679E-05
 0.074280	6.991577E-05
 0.094299	1.134644E-04
 0.114288	1.743469E-04
 0.134308	2.510071E-04
 0.154297	3.391113E-04
 0.174316	4.329529E-04
 0.194305	5.258179E-04
 0.214294	6.091309E-04
 0.234314	6.726074E-04
 0.254303	7.019043E-04
 0.274323	6.851196E-04
 0.294312	6.274414E-04
 0.314331	5.575562E-04
 0.334320	4.983521E-04
 0.354309	4.532776E-04
 0.374329	4.180908E-04
 0.394318	3.901978E-04
 0.414307	3.675232E-04
 0.434326	3.485718E-04
 0.454315	3.320007E-04
 0.474335	3.167725E-04
 0.494324	3.022461E-04
 0.492157	2.424316E-04
 0.472107	1.967468E-04
 0.452087	1.721497E-04
 0.432037	1.532593E-04
 0.412018	1.367493E-04
 0.391998	1.212463E-04
 0.371948	1.059570E-04
 0.351929	9.042358E-05
 0.331909	7.418823E-05
 0.311890	5.685425E-05
 0.291870	3.789673E-05
 0.271851	1.600952E-05
 0.251831	-1.018066E-05
 0.231812	-4.302063E-05
 0.211792	-8.520508E-05
 0.191772	-1.388550E-04
 0.171753	-2.048950E-04
 0.151703	-2.817688E-04
 0.131714	-3.655090E-04
 0.111694	-4.501648E-04
 0.091675	-5.279541E-04
 0.071655	-5.862427E-04
 0.051605	-6.103516E-04
 0.031610	-5.844116E-04
 0.011578	-5.151367E-04
 -0.008450	-4.413757E-04
 -0.028491	-3.855286E-04
 -0.048431	-3.453979E-04
 -0.068481	-3.160095E-04
 -0.088501	-2.941284E-04
 -0.108521	-2.774658E-04
 -0.128571	-2.645264E-04
 -0.148590	-2.543030E-04
 -0.168610	-2.461243E-04
 -0.188599	-2.395020E-04
 -0.208649	-2.341614E-04
 -0.228638	-2.297974E-04
 -0.248688	-2.263184E-04
 -0.268707	-2.236328E-04
 -0.288696	-2.216187E-04
 -0.289185	-1.323242E-04
 -0.269165	-3.043213E-05
 -0.249146	-1.782532E-05
 -0.229126	-1.387634E-05
 -0.209106	-1.169128E-05
 -0.189117	-1.017761E-05
 -0.169098	-9.130859E-06
 -0.149078	-8.035278E-06
 -0.129089	-7.968140E-06
 -0.109070	-7.565308E-06
 -0.089081	-7.131958E-06
 -0.069092	-6.515503E-06
 -0.049072	-5.499268E-06
 -0.029163	-3.760376E-06
 -0.009167	-5.859375E-07

 Potential	  Scan 3   
 0.010861	4.797363E-06
 0.030865	1.372986E-05
 0.050903	2.920227E-05
 0.070953	5.545044E-05
 0.090942	9.686279E-05
 0.110931	1.556702E-04
 0.130951	2.305603E-04
 0.150940	3.175049E-04
 0.170959	4.109192E-04
 0.190948	5.038452E-04
 0.210938	5.889893E-04
 0.230957	6.555176E-04
 0.250946	6.896973E-04
 0.270966	6.790161E-04
 0.290955	6.256104E-04
 0.310974	5.560303E-04
 0.330963	4.949951E-04
 0.350983	4.483032E-04
 0.370972	4.119263E-04
 0.390961	3.831482E-04
 0.410980	3.597717E-04
 0.430969	3.403015E-04
 0.450989	3.234253E-04
 0.470978	3.080750E-04
 0.490967	2.935486E-04
 0.495392	2.504272E-04
 0.475342	1.923218E-04
 0.455322	1.665649E-04
 0.435303	1.473389E-04
 0.415253	1.308289E-04
 0.395233	1.154480E-04
 0.375214	1.003723E-04
 0.355194	8.511353E-05
 0.335175	6.918335E-05
 0.315125	5.221558E-05
 0.295135	3.374939E-05
 0.275085	1.264343E-05
 0.255066	-1.244507E-05
 0.235046	-4.368286E-05
 0.215027	-8.370972E-05
 0.195007	-1.348877E-04
 0.174988	-1.983337E-04
 0.154968	-2.731934E-04
 0.134949	-3.558044E-04
 0.114929	-4.406433E-04
 0.094910	-5.203247E-04
 0.074921	-5.828857E-04
 0.054871	-6.143188E-04
 0.034833	-5.987549E-04
 0.014825	-5.349731E-04
 -0.005203	-4.595947E-04
 -0.025229	-4.004517E-04
 -0.045255	-3.578796E-04
 -0.065247	-3.267822E-04
 -0.085266	-3.036804E-04
 -0.105286	-2.861633E-04
 -0.125305	-2.726135E-04
 -0.145325	-2.619324E-04
 -0.165344	-2.533264E-04
 -0.185364	-2.464600E-04
 -0.205414	-2.408447E-04
 -0.225403	-2.362366E-04
 -0.245422	-2.326050E-04
 -0.265442	-2.297363E-04
 -0.285461	-2.275696E-04
 -0.294220	-2.049255E-04
 -0.274170	-4.270020E-05
 -0.254181	-2.449341E-05
 -0.234161	-1.980591E-05
 -0.214142	-1.732788E-05
 -0.194153	-1.567078E-05
 -0.174133	-1.450500E-05
 -0.154114	-1.301270E-05
 -0.134125	-1.308594E-05
 -0.114105	-1.268311E-05
 -0.094116	-1.224976E-05
 -0.074127	-1.162720E-05
 -0.054108	-1.069946E-05
 -0.034192	-9.097290E-06
 -0.014185	-6.268311E-06

 Potential	  Scan 4   
 0.005829	-1.564026E-06
 0.025836	6.402588E-06
 0.045853	2.006836E-05
 0.065918	4.342041E-05
 0.085907	8.099365E-05
 0.105927	1.357422E-04
 0.125916	2.070923E-04
 0.145905	2.916870E-04
 0.165924	3.841553E-04
 0.185913	4.780884E-04
 0.205933	5.657959E-04
 0.225922	6.375122E-04
 0.245911	6.802368E-04
 0.265930	6.808472E-04
 0.285950	6.359863E-04
 0.305939	5.670166E-04
 0.325958	5.032349E-04
 0.345947	4.532471E-04
 0.365967	4.145813E-04
 0.385956	3.841553E-04
 0.405945	3.596191E-04
 0.425964	3.392639E-04
 0.445953	3.218079E-04
 0.465942	3.061218E-04
 0.485931	2.914429E-04
 0.499573	2.764282E-04
 0.479309	1.952820E-04
 0.459290	1.669617E-04
 0.439270	1.468811E-04
 0.419220	1.300354E-04
 0.399200	1.145325E-04
 0.379181	9.951782E-05
 0.359131	8.438110E-05
 0.339111	6.869507E-05
 0.319092	5.203247E-05
 0.299072	3.395996E-05
 0.279053	1.358032E-05
 0.259033	-1.049194E-05
 0.239014	-4.018555E-05
 0.218994	-7.806396E-05
 0.198975	-1.266174E-04
 0.178955	-1.874084E-04
 0.158936	-2.599182E-04
 0.138916	-3.411560E-04
 0.118896	-4.260254E-04
 0.098877	-5.075073E-04
 0.078857	-5.743408E-04
 0.058838	-6.140137E-04
 0.038828	-6.091309E-04
 0.018790	-5.538940E-04
 -0.001242	-4.775391E-04
 -0.021255	-4.144897E-04
 -0.041287	-3.688965E-04
 -0.061279	-3.357849E-04
 -0.081299	-3.112488E-04
 -0.101318	-2.926941E-04
 -0.121338	-2.784424E-04
 -0.141388	-2.671814E-04
 -0.161407	-2.581787E-04
 -0.181396	-2.509766E-04
 -0.201416	-2.450867E-04
 -0.221436	-2.402954E-04
 -0.241455	-2.364197E-04
 -0.261475	-2.333984E-04
 -0.281494	-2.310486E-04
 -0.296570	-2.293396E-04
 -0.276520	-5.364990E-05
 -0.256500	-2.916565E-05
 -0.236481	-2.372437E-05
 -0.216492	-2.100830E-05
 -0.196472	-1.922302E-05
 -0.176453	-1.799316E-05
 -0.156433	-1.704407E-05
 -0.136414	-1.558838E-05
 -0.116425	-1.590881E-05
 -0.096436	-1.548462E-05
 -0.076447	-1.485596E-05
 -0.056427	-1.392212E-05
 -0.036526	-1.241150E-05
 -0.016516	-9.710693E-06

 Potential	  Scan 5   
 0.003500	-5.154419E-06
 0.023492	2.334900E-06
 0.043518	1.531067E-05
 0.063568	3.740234E-05
 0.083588	7.333374E-05
 0.103577	1.262512E-04
 0.123596	1.960144E-04
 0.143585	2.793884E-04
 0.163574	3.713074E-04
 0.183594	4.653625E-04
 0.203613	5.541992E-04
 0.223602	6.280518E-04
 0.243591	6.744385E-04
 0.263611	6.802368E-04
 0.283600	6.393433E-04
 0.303650	5.712891E-04
 0.323608	5.059814E-04
 0.343597	4.547729E-04
 0.363617	4.150085E-04
 0.383606	3.838196E-04
 0.403625	3.586426E-04
 0.423615	3.378601E-04
 0.443634	3.200989E-04
 0.463623	3.042603E-04
 0.483643	2.894592E-04
 0.502014	2.753601E-04
 0.482178	1.970520E-04
 0.462158	1.669006E-04
 0.442139	1.463318E-04
 0.422089	1.293030E-04
 0.402069	1.138000E-04
 0.382050	9.884644E-05
 0.362000	8.383179E-05
 0.342010	6.829834E-05
 0.321960	5.187988E-05
 0.301941	3.414307E-05
 0.281921	1.415710E-05
 0.261902	-9.210205E-06
 0.241882	-3.782349E-05
 0.221863	-7.424927E-05
 0.201843	-1.209717E-04
 0.181824	-1.797791E-04
 0.161774	-2.505798E-04
 0.141785	-3.306885E-04
 0.121765	-4.152832E-04
 0.101715	-4.974365E-04
 0.081726	-5.676270E-04
 0.061707	-6.121826E-04
 0.041693	-6.152344E-04
 0.021661	-5.664063E-04
 0.001624	-4.905396E-04
 -0.018393	-4.249268E-04
 -0.038416	-3.770142E-04
 -0.058411	-3.423462E-04
 -0.078430	-3.167114E-04
 -0.098450	-2.973633E-04
 -0.118469	-2.825623E-04
 -0.138489	-2.709045E-04
 -0.158539	-2.616272E-04
 -0.178528	-2.541504E-04
 -0.198547	-2.480774E-04
 -0.218567	-2.431030E-04
 -0.238586	-2.391052E-04
 -0.258606	-2.359314E-04
 -0.278625	-2.334900E-04
 -0.297913	-2.316895E-04
 -0.279663	-6.616211E-05
 -0.259644	-3.280029E-05
 -0.239624	-2.634888E-05
