File............:  sc_tdlast - MAY,22.2025

System..........:  CIMPS control file
Control.........:  1905lsw-2
Temperature.....:  unknown
Time............:  MAY,22.2025
Comment.........:  12:46:35 - 12:58:36
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   721
Columns: 4

Number     Time/s     Potential/V    Current/A    Intensity/Wm-2
1              0.0    -2.0020e-01   -1.6184e-07    1.969e-02     
2              1.0    -2.0020e-01   -1.5249e-07    3.831e-02     
3              2.0    -2.0020e-01   -1.4551e-07    5.535e-02     
4              3.0    -2.0020e-01   -1.4526e-07    6.521e-02     
5              4.0    -2.0020e-01   -1.5227e-07    4.038e-02     
6              5.0    -2.0020e-01   -1.4402e-07    3.770e-02     
7              6.0    -2.0020e-01   -1.4348e-07    6.253e-02     
8              7.0    -2.0020e-01   -1.4381e-07    3.344e-02     
9              8.0    -2.0020e-01   -1.3416e-07    2.334e-02     
10             9.0    -2.0020e-01   -1.3418e-07    3.478e-02     
11            10.0    -2.0020e-01   -1.2985e-07    5.474e-02     
12            11.0    -2.0020e-01   -1.4112e-07    6.083e-02     
13            12.0    -2.0020e-01   -1.3506e-07    4.768e-02     
14            13.0    -2.0020e-01   -1.3567e-07    4.281e-02     
15            14.0    -2.0020e-01   -1.3617e-07    1.134e-01     
16            15.0    -2.0020e-01   -1.3119e-07    6.131e-02     
17            16.0    -2.0020e-01   -1.4073e-07    4.135e-02     
18            17.0    -2.0020e-01   -1.3506e-07    3.503e-02     
19            18.0    -2.0020e-01   -1.4077e-07    3.871e-03     
20            19.0    -2.0020e-01   -1.4176e-07    7.458e-02     
21            20.0    -2.0020e-01   -1.3243e-07    3.709e-02     
22            21.0    -2.0020e-01   -1.4444e-07    3.624e-02     
23            22.0    -2.0020e-01   -1.4086e-07    6.825e-02     
24            23.0    -2.0020e-01   -1.4357e-07    3.150e-02     
25            24.0    -2.0020e-01   -1.4889e-07    2.152e-02     
26            25.0    -2.0020e-01   -1.3061e-07    8.237e-02     
27            26.0    -2.0020e-01   -1.4835e-07    5.571e-02     
28            27.0    -2.0020e-01   -1.5328e-07    4.160e-02     
29            28.0    -2.0020e-01   -1.4931e-07    5.389e-02     
30            29.0    -2.0020e-01   -1.3934e-07    3.612e-02     
31            30.0    -2.0020e-01   -1.3771e-07    8.285e-02     
32            31.0    -2.0020e-01   -1.3697e-07    6.423e-02     
33            32.0    -2.0020e-01   -1.3266e-07   -2.092e-03     
34            33.0    -2.0020e-01   -1.3972e-07    4.866e-02     
35            34.0    -2.0020e-01   -1.3319e-07    4.756e-02     
36            35.0    -2.0020e-01   -1.3332e-07    5.377e-02     
37            36.0    -2.0020e-01   -1.5187e-07    2.532e-03     
38            37.0    -2.0020e-01   -1.4463e-07    1.628e-02     
39            38.0    -2.0020e-01   -1.3736e-07    2.079e-02     
40            39.0    -2.0020e-01   -1.4294e-07    1.275e-02     
41            40.0    -2.0020e-01   -1.3925e-07    2.699e-02     
42            41.0    -2.0020e-01   -1.4134e-07    5.474e-02     
43            42.0    -2.0020e-01   -1.3192e-07    5.219e-02     
44            43.0    -2.0020e-01   -1.3891e-07    5.985e-02     
45            44.0    -2.0020e-01   -1.3081e-07    4.135e-02     
46            45.0    -2.0020e-01   -1.3395e-07    5.097e-02     
47            46.0    -2.0020e-01   -1.3747e-07    5.036e-02     
48            47.0    -2.0020e-01   -1.3112e-07    6.363e-02     
49            48.0    -2.0020e-01   -1.4462e-07    5.547e-02     
