File............:  sc_tdlast - MAY,22.2025

System..........:  CIMPS control file
Control.........:  
Temperature.....:  unknown
Time............:  MAY,22.2025
Comment.........:  13:44:23 - 13:56:25
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:     721
Columns: 5

Number     Time/s     Potential/V    Current/A    Intensity/Wm-2
1                0.0     -2.0020e-01   -1.0410e-07     8.648e-02
2                1.0     -2.0020e-01   -1.3379e-07     3.587e-02
3                2.0     -2.0020e-01   -1.3630e-07     9.419e-02
4                3.0     -2.0020e-01   -1.3287e-07     6.927e-02
5                4.0     -2.0020e-01   -1.2243e-07     1.054e-01
6                5.0     -2.0020e-01   -1.1428e-07     8.410e-02
7                6.0     -2.0020e-01   -1.1278e-07     8.237e-02
8                7.0     -2.0020e-01   -1.3688e-07     3.134e-02
9                8.0     -2.0020e-01   -1.3557e-07     5.885e-02
10               9.0     -2.0020e-01   -2.4483e-07     4.907e-01
11              10.0     -2.0020e-01   -8.5399e-08     4.733e-01
12              11.0     -2.0020e-01   -1.1969e-07     6.678e-02
13              12.0     -2.0020e-01   -1.3396e-07     7.031e-02
14              13.0     -2.0020e-01   -1.2864e-07     7.201e-02
15              14.0     -2.0020e-01   -1.1520e-07     5.417e-02
16              15.0     -2.0020e-01   -1.2759e-07     2.954e-02
17              16.0     -2.0020e-01   -1.2327e-07     3.942e-02
18              17.0     -2.0020e-01   -1.3140e-07     8.708e-02
19              18.0     -2.0020e-01   -1.3614e-07     5.834e-02
20              19.0     -2.0020e-01   -1.2766e-07     5.701e-02
21              20.0     -2.0020e-01   -1.2557e-07     3.500e-02
22              21.0     -2.0020e-01   -1.1786e-07     8.078e-02
23              22.0     -2.0020e-01   -1.3653e-07     1.276e-02
24              23.0     -2.0020e-01   -1.2814e-07     6.736e-02
25              24.0     -2.0020e-01   -1.2471e-07     4.876e-02
26              25.0     -2.0020e-01   -1.3935e-07     5.718e-02
27              26.0     -2.0020e-01   -1.5214e-07     5.378e-01
28              27.0     -2.0020e-01   -1.1705e-07     6.558e-01
29              28.0     -2.0020e-01   -1.2061e-07     6.500e-01
30              29.0     -2.0020e-01   -1.1366e-07     5.919e-01
31              30.0     -2.0020e-01   -1.1833e-07     1.355e-01
32              31.0     -2.0020e-01   -1.2257e-07     9.272e-02
33              32.0     -2.0020e-01   -1.2574e-07     7.655e-02
34              33.0     -2.0020e-01   -1.4606e-07     5.761e-02
35              34.0     -2.0020e-01   -1.2006e-07     6.381e-02
36              35.0     -2.0020e-01   -1.3479e-07     5.167e-02
37              36.0     -2.0020e-01   -1.1872e-07     4.558e-02
38              37.0     -2.0020e-01   -1.1751e-07     7.468e-02
39              38.0     -2.0020e-01   -1.6807e-07     4.758e-02
40              39.0     -2.0020e-01   -1.2971e-07     7.452e-02
41              40.0     -2.0020e-01   -1.3030e-07     5.211e-02
42              41.0     -2.0020e-01   -1.2818e-07     6.467e-02
43              42.0     -2.0020e-01   -1.1015e-07     3.889e-02
44              43.0     -2.0020e-01   -1.3684e-07     2.499e-02
45              44.0     -2.0020e-01   -1.2192e-07     4.545e-02
46              45.0     -2.0020e-01   -1.3173e-07     5.472e-02
47              46.0     -2.0020e-01   -1.1728e-07     7.691e-02
48              47.0     -2.0020e-01   -1.2978e-07     7.684e-02
49              48.0     -2.0020e-01   -1.4135e-07     5.628e-02
50              49.0     -2.0020e-01   -1.2103e-07     4.136e-02
51              50.0     -2.0020e-01   -1.4617e-07     6.084e-02
52              51.0     -2.0020e-01   -1.3953e-07     6.094e-02
53              52.0     -2.0020e-01   -1.3929e-07     4.586e-02
54              53.0     -2.0020e-01   -1.4597e-07     1.031e-01
55              54.0     -2.0020e-01   -1.3725e-07     5.727e-02
56              55.0     -2.0020e-01   -1.4699e-07     2.894e-02
57              56.0     -2.0020e-01   -1.1640e-07     6.838e-02
58              57.0     -2.0020e-01   -1.3111e-07     5.472e-02
59              58.0     -2.0020e-01   -1.2670e-07     4.920e-02
60              59.0     -2.0020e-01   -1.3150e-07     7.493e-02
61              60.0     -2.0020e-01   -1.3592e-07     7.861e-02
62              61.0     -2.0020e-01   -1.0992e-07     6.824e-02
63              62.0     -2.0020e-01   -1.4410e-07     5.975e-02
64              63.0     -2.0020e-01   -1.1796e-07     8.044e-02
65              64.0     -2.0020e-01   -1.2454e-07     6.036e-02
66              65.0     -2.0020e-01   -1.4445e-07     5.399e-02
67              66.0     -2.0020e-01   -1.3830e-07     4.544e-02
68              67.0     -2.0020e-01   -1.3188e-07     5.207e-02
69              68.0     -2.0020e-01   -1.1218e-07     1.089e-01
70              69.0     -2.0020e-01   -1.3730e-07     7.358e-02
71              70.0     -2.0020e-01   -1.2467e-07     3.556e-02
72              71.0     -2.0020e-01   -1.2431e-07     5.630e-02
73              72.0     -2.0020e-01   -1.1816e-07     6.311e-02
74              73.0     -2.0020e-01   -1.3617e-07     6.307e-02
75              74.0     -2.0020e-01   -1.2369e-07     5.828e-02
76              75.0     -2.0020e-01   -1.3941e-07     8.713e-02
77              76.0     -2.0020e-01   -1.4304e-07     4.527e-02
78              77.0     -2.0020e-01   -1.2246e-07     3.915e-02
79              78.0     -2.0020e-01   -1.2099e-07     6.418e-03
80              79.0     -2.0020e-01   -1.1974e-07     3.643e-02
81              80.0     -2.0020e-01   -1.4319e-07     2.898e-02
82              81.0     -2.0020e-01   -1.3007e-07     3.707e-02
83              82.0     -2.0020e-01   -1.2356e-07    -9.947e-03
84              83.0     -2.0020e-01   -1.1494e-07     4.268e-02
85              84.0     -2.0020e-01   -1.2574e-07     4.181e-02
86              85.0     -2.0020e-01   -1.3062e-07     3.835e-02
87              86.0     -2.0020e-01   -1.3149e-07     8.506e-02
88              87.0     -2.0020e-01   -1.4044e-07     7.531e-03
89              88.0     -2.0020e-01   -1.4305e-07     5.162e-02
90              89.0     -2.0020e-01   -1.2151e-07     3.622e-02
91              90.0     -2.0020e-01   -1.1696e-07     4.381e-02
92              91.0     -2.0020e-01   -1.2921e-07     1.391e-02
93              92.0     -2.0020e-01   -1.1888e-07     1.437e-01
94              93.0     -2.0020e-01   -1.2896e-07     1.512e-02
95              94.0     -2.0020e-01   -1.3199e-07     7.316e-02
96              95.0     -2.0020e-01   -1.2389e-07    -5.141e-02
97              96.0     -2.0020e-01   -1.2268e-07     5.367e-02
98              97.0     -2.0020e-01   -1.3729e-07     9.375e-02
99              98.0     -2.0020e-01   -1.1943e-07     4.868e-02
100             99.0     -2.0020e-01   -1.2019e-07    -2.472e-02
101            100.0     -2.0020e-01   -1.1698e-07     9.757e-02
102            101.0     -2.0020e-01   -1.3954e-07     1.559e-02
103            102.0     -2.0020e-01   -1.1966e-07     1.224e-02
104            103.0     -2.0020e-01   -1.3344e-07     7.516e-02
105            104.0     -2.0020e-01   -1.3661e-07     3.396e-02
106            105.0     -2.0020e-01   -1.1406e-07     5.118e-02
107            106.0     -2.0020e-01   -1.0859e-07     5.339e-02
108            107.0     -2.0020e-01   -1.4424e-07     6.711e-02
109            108.0     -2.0020e-01   -1.2296e-07     5.372e-02
110            109.0     -2.0020e-01   -1.1977e-07     7.199e-02
111            110.0     -2.0020e-01   -1.2596e-07     8.815e-02
112            111.0     -2.0020e-01   -1.2120e-07     9.520e-02
113            112.0     -2.0020e-01   -1.3571e-07     5.624e-02
114            113.0     -2.0020e-01   -1.3623e-07     8.123e-02
115            114.0     -2.0020e-01   -1.3165e-07     7.633e-02
116            115.0     -2.0020e-01   -1.4720e-07     4.363e-02
117            116.0     -2.0020e-01   -1.2137e-07     7.022e-02
118            117.0     -2.0020e-01   -1.2165e-07     1.014e-01
119            118.0     -2.0020e-01   -1.4813e-07     8.285e-02
120            119.0     -2.0020e-01   -1.2576e-07     7.175e-01
121            120.0     -2.0020e-01   -1.3475e-07     1.019e+00
122            121.0     -2.0020e-01   -1.2008e-07     8.517e-01
123            122.0     -2.0020e-01   -1.1232e-07     1.048e+00
124            123.0     -2.0020e-01   -1.0359e-07     8.351e-01
125            124.0     -2.0020e-01   -1.3084e-07     8.789e-01
126            125.0     -2.0020e-01   -1.4467e-07     8.252e-01
127            126.0     -2.0020e-01   -1.6522e-07     1.068e+00
128            127.0     -2.0020e-01   -1.5755e-07     8.932e-01
129            128.0     -2.0020e-01   -1.2427e-07     9.382e-01
130            129.0     -2.0020e-01   -1.6512e-07     7.937e-01
131            130.0     -2.0020e-01   -1.6289e-07     9.829e-01
132            131.0     -2.0020e-01   -1.5846e-07     8.691e-01
133            132.0     -2.0020e-01   -1.6184e-07     1.029e+00
134            133.0     -2.0020e-01   -1.6365e-07     8.083e-01
135            134.0     -2.0020e-01   -1.8299e-07     8.451e-01
136            135.0     -2.0020e-01   -1.6371e-07     8.196e-01
137            136.0     -2.0020e-01   -1.5546e-07     9.003e-01
138            137.0     -2.0020e-01   -1.6247e-07     9.126e-01
139            138.0     -2.0020e-01   -1.6275e-07     8.406e-01
140            139.0     -2.0020e-01   -1.7907e-07     1.030e-01
141            140.0     -2.0020e-01   -1.6465e-07     8.913e-02
142            141.0     -2.0020e-01   -1.4959e-07     9.069e-02
143            142.0     -2.0020e-01   -1.5937e-07     5.879e-02
144            143.0     -2.0020e-01   -1.5105e-07     5.571e-02
145            144.0     -2.0020e-01   -1.4850e-07     7.876e-02
146            145.0     -2.0020e-01   -1.4088e-07     5.344e-02
147            146.0     -2.0020e-01   -1.6352e-07     5.018e-02
148            147.0     -2.0020e-01   -1.4427e-07     9.118e-02
149            148.0     -2.0020e-01   -1.2785e-07     1.026e-01
150            149.0     -2.0020e-01   -1.3955e-07     6.706e-02
151            150.0     -2.0020e-01   -1.4839e-07     6.514e-02
152            151.0     -2.0020e-01   -1.3622e-07     9.303e-02
153            152.0     -2.0020e-01   -1.3574e-07     9.716e-02
154            153.0     -2.0020e-01   -1.3075e-07     5.791e-02
155            154.0     -2.0020e-01   -1.5509e-07     7.245e-02
156            155.0     -2.0020e-01   -1.4569e-07     4.623e-02
157            156.0     -2.0020e-01   -1.4878e-07     1.062e-01
158            157.0     -2.0020e-01   -1.4193e-07     7.862e-02
159            158.0     -2.0020e-01   -1.3467e-07     5.776e-02
160            159.0     -2.0020e-01   -1.4209e-07     1.609e+00
161            160.0     -2.0020e-01   -1.4671e-07     1.952e+00
162            161.0     -2.0020e-01   -1.4224e-07     1.607e+00
163            162.0     -2.0020e-01   -1.6271e-07     1.659e+00
164            163.0     -2.0020e-01   -1.6169e-07     2.000e+00
165            164.0     -2.0020e-01   -1.4139e-07     1.679e+00
166            165.0     -2.0020e-01   -1.8472e-07     1.934e+00
167            166.0     -2.0020e-01   -1.4727e-07     1.732e+00
168            167.0     -2.0020e-01   -1.5589e-07     1.655e+00
169            168.0     -2.0020e-01   -1.5828e-07     1.752e+00
170            169.0     -2.0020e-01   -1.6901e-07     1.995e+00
171            170.0     -2.0020e-01   -1.6517e-07     2.077e+00
172            171.0     -2.0020e-01   -1.5442e-07     2.044e+00
173            172.0     -2.0020e-01   -1.6399e-07     1.833e+00
174            173.0     -2.0020e-01   -1.6207e-07     1.976e+00
175            174.0     -2.0020e-01   -1.6572e-07     1.697e+00
176            175.0     -2.0020e-01   -1.5998e-07     1.749e+00
177            176.0     -2.0020e-01   -1.8499e-07     2.072e+00
178            177.0     -2.0020e-01   -1.7218e-07     1.619e+00
179            178.0     -2.0020e-01   -1.8924e-07     1.629e+00
180            179.0     -2.0020e-01   -1.5667e-07     8.403e-02
181            180.0     -2.0020e-01   -1.6707e-07     4.780e-02
182            181.0     -2.0020e-01   -1.5291e-07     6.778e-02
183            182.0     -2.0020e-01   -1.7792e-07     6.771e-02
184            183.0     -2.0020e-01   -1.7171e-07     8.684e-02
185            184.0     -2.0020e-01   -1.4188e-07     6.513e-02
186            185.0     -2.0020e-01   -1.6642e-07     6.102e-02
187            186.0     -2.0020e-01   -1.5958e-07     6.698e-02
188            187.0     -2.0020e-01   -1.5671e-07     5.745e-02
189            188.0     -2.0020e-01   -1.5440e-07     8.702e-02
190            189.0     -2.0020e-01   -1.4796e-07     5.797e-02
191            190.0     -2.0020e-01   -1.3333e-07     6.452e-02
192            191.0     -2.0020e-01   -1.7096e-07     5.854e-02
