File............:  sc_tdlast - MAY,22.2025

System..........:  CIMPS control file
Control.........:  
Temperature.....:  unknown
Time............:  MAY,22.2025
Comment.........:  13:34:03 - 13:46:05
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:   721
Columns: 4

Number     Time/s     Potential/V    Current/A    Intensity/Wm-2
1              0.0    -2.0020e-01   -1.0678e-07    9.563e-02     
2              1.0    -2.0020e-01   -1.2273e-07    4.123e-02     
3              2.0    -2.0020e-01   -1.3026e-07    8.784e-02     
4              3.0    -2.0020e-01   -1.3030e-07    6.776e-02     
5              4.0    -2.0020e-01   -1.3148e-07    9.563e-02     
6              5.0    -2.0020e-01   -1.2272e-07    9.429e-02     
7              6.0    -2.0020e-01   -1.2371e-07    7.567e-02     
8              7.0    -2.0020e-01   -1.2754e-07    3.442e-02     
9              8.0    -2.0020e-01   -1.3288e-07    6.545e-02     
10             9.0    -2.0020e-01   -2.3505e-07    5.457e-01     
11            10.0    -2.0020e-01   -9.4456e-08    4.325e-01     
12            11.0    -2.0020e-01   -1.0941e-07    6.363e-02     
13            12.0    -2.0020e-01   -1.2561e-07    6.983e-02     
14            13.0    -2.0020e-01   -1.3649e-07    7.519e-02     
15            14.0    -2.0020e-01   -1.2303e-07    4.866e-02     
16            15.0    -2.0020e-01   -1.3621e-07    3.052e-02     
17            16.0    -2.0020e-01   -1.2829e-07    3.600e-02     
18            17.0    -2.0020e-01   -1.3075e-07    8.870e-02     
19            18.0    -2.0020e-01   -1.3802e-07    6.058e-02     
20            19.0    -2.0020e-01   -1.3322e-07    5.766e-02     
21            20.0    -2.0020e-01   -1.2282e-07    3.722e-02     
22            21.0    -2.0020e-01   -1.2702e-07    7.519e-02     
23            22.0    -2.0020e-01   -1.4245e-07    1.275e-02     
24            23.0    -2.0020e-01   -1.3166e-07    7.324e-02     
25            24.0    -2.0020e-01   -1.2582e-07    4.354e-02     
26            25.0    -2.0020e-01   -1.3183e-07    5.924e-02     
27            26.0    -2.0020e-01   -1.6186e-07    5.309e-01     
